,Drink,Drink ID,Category,Glass,Instructions,Ingredient1,Measure1,Ingredient2,Measure2,Ingredient3,Measure3,Ingredient4,Measure4,Ingredient5,Measure5,Ingredient6,Measure6,Ingredient7,Measure7,Ingredient8,Measure8,Ingredient9,Measure9,Ingredient10,Measure10,Ingredient11,Measure11,Ingredient12,Measure12,Ingredient13,Measure13,Ingredient14,Measure14,Ingredient15,Measure15
222,Dirty Martini,17181,Cocktail,Cocktail glass,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive.",Vodka,70ml/2fl oz,Dry Vermouth,1 tbsp,Olive Brine,2 tbsp,Lemon,1 wedge,Olive,1,,,,,,,,,,,,,,,,,,,,
223,Dirty Nipple,14466,Shot,Shot glass,This is a layered shot - the Bailey's must be on top,Kahlua,"
",Sambuca,"
",Bailey's irish cream,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,
224,Downshift,16991,Punch / Party Drink,Hurricane glass,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional.",Fruit punch,2 part ,Sprite,1 part ,Tequila,2 shots ,151 proof rum,Float Bacardi ,, ,, ,, ,, ,, ,,,,,,,,,,,,
225,Dragonfly,11320,Ordinary Drink,Highball glass,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge.",Gin,1 1/2 oz ,Ginger ale,4 oz ,Lime,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
226,Drinking Chocolate,12736,Cocoa,Coffee mug,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug.",Heavy cream,2 oz ,Milk,6-8 oz ,Cinnamon,1 stick ,Vanilla,1 ,Chocolate,2 oz finely chopped dark ,Whipped cream,Fresh ,, ,, ,, ,, ,, ,,,,,,,,
227,Dry Rob Roy,11324,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist.",Scotch,2 1/2 oz ,Dry Vermouth,1 1/2 tsp ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
228,Dubonnet Cocktail,11326,Ordinary Drink,Cocktail glass,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,Dubonnet Rouge,1 1/2 oz ,Gin,3/4 oz ,Bitters,1 dash ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,
229,Duchamp's Punch,17182,Cocktail,Old-fashioned glass,"Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs",Pisco,5 cl,Lime Juice,2.5 cl,Pineapple Syrup,2.5 cl,St. Germain,1.5 cl,Angostura Bitters,2 Dashes,Pepper,Pinch,Lavender,2 sprigs,,,,,,,,,,,,,,,,
230,Egg Cream,12668,Other/Unknown,Coffee mug,"Mix syrup and milk in a fountain glass. Add soda water, serve with a straw.",Chocolate syrup,2 tblsp ,Milk,6 oz whole ,Soda water,6 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
231,Egg Nog #4,12910,Punch / Party Drink,Punch bowl,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups.",Egg yolk,6 ,Sugar,1/4 cup ,Milk,2 cups ,Light rum,1/2 cup ,Bourbon,1/2 cup ,Vanilla extract,1 tsp ,Salt,1/4 tsp ,Whipping cream,1 cup ,Egg white,6 ,Sugar,1/4 cup ,Nutmeg,Ground ,, ,, ,, ,, 
232,Egg Nog - Healthy,12916,Punch / Party Drink,Collins Glass,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings.",Egg,1/2 cup ,Sugar,3 tblsp ,Condensed milk,13 oz skimmed ,Milk,3/4 cup skimmed ,Vanilla extract,1 tsp ,Rum,1 tsp ,Nutmeg,"
",,"
",,"
",,"
",,"
",,"
",,,,,,
233,Egg-Nog - Classic Cooked,12914,Punch / Party Drink,Pitcher,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately.",Egg,6 ,Sugar,1/4 cup ,Salt,1/4 tsp ,Milk,1 qt ,Vanilla extract,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,
234,English Highball,11338,Ordinary Drink,Highball glass,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)",Brandy,3/4 oz ,Gin,3/4 oz ,Sweet Vermouth,3/4 oz ,Carbonated water,"
",Lemon peel,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
235,English Rose Cocktail,11339,Ordinary Drink,Cocktail glass,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.,Apricot brandy,3/4 oz ,Gin,1 1/2 oz ,Dry Vermouth,3/4 oz ,Grenadine,1 tsp ,Lemon juice,1/4 tsp ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
236,Espresso Martini,17212,Cocktail,Cocktail glass,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass",Vodka,5 cl,Kahlua,1 cl,Sugar syrup,1 dash,,,,,,,,,,,,,,,,,,,,,,,,
237,Fahrenheit 5000,13070,Shot,Shot glass,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.,Firewater,1/2 oz ,Absolut Peppar,1/2 oz ,Tabasco sauce,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
238,Flaming Dr. Pepper,13202,Shot,Collins Glass,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer",Amaretto,1 oz ,Vodka,1 oz ,151 proof rum,1 oz Bacardi ,Dr. Pepper,1 oz ,Beer,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,
239,Flaming Lamborghini,16485,Cocktail,Cocktail glass,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",Kahlua,1 oz ,Sambuca,1 oz ,Blue Curacao,1 oz ,Bailey's irish cream,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
240,Flander's Flake-Out,13675,Ordinary Drink,Collins Glass,Bang 'em both in.,Sambuca,1/4 glass ,Sarsaparilla,3/4 glass ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
241,Flying Dutchman,11368,Ordinary Drink,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well.",Gin,2 oz ,Triple sec,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
242,Flying Scotchman,11369,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Scotch,1 oz ,Sweet Vermouth,1 oz ,Bitters,1 dash ,Sugar syrup,1/4 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,
243,Foxy Lady,11375,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",Amaretto,1/2 oz ,Creme de Cacao,1/2 oz ,Light cream,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
244,Frappé,12768,Coffee / Tea,Highball Glass,"Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing.",Coffee,1/2 cup black ,Milk,1/2 cup ,Sugar,1-2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
245,Freddy Kruger,14688,Shot,Shot glass,make it an ample size shot!!,Jägermeister,1/2 oz ,Sambuca,1/2 oz ,Vodka,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
246,"French ""75""",11379,Ordinary Drink,Collins glass,"In a shaker half-filled with ice cubes, combine the gin, sugar, and lemon juice. Shake well. Pour into a collins glass. Top with the Champagne. Stir well and garnish with the orange slice and the cherry.",Gin,1 1/2 oz ,Sugar,2 tsp superfine ,Lemon juice,1 1/2 oz ,Champagne,4 oz Chilled ,Orange,1 ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
247,French 75,17197,Ordinary Drink,Collins glass,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently.",Gin,1 1/2 oz ,Sugar,2 tsp superfine ,Lemon juice,1 1/2 oz ,Champagne,4 oz Chilled ,Orange,1 ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
248,French Connection,17198,Ordinary Drink,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,Cognac,1 1/2 oz ,Amaretto,3/4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
249,French Martini,17213,Cocktail,Cocktail glass,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,Vodka,4.5 cl,Raspberry Liqueur,1.5 cl,pineapple juice,1.5 cl,,,,,,,,,,,,,,,,,,,,,,,,
250,Frisco Sour,11382,Ordinary Drink,Whiskey sour glass,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.,Blended whiskey,2 oz ,Benedictine,1/2 oz ,Lemon,Juice of 1/4 ,Lime,Juice of 1/2 ,Lemon,1 slice ,Lime,1 slice ,, ,, ,, ,, ,, ,,,,,,,,
251,Frozen Daiquiri,11387,Ordinary Drink,Champagne flute,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve.",Light rum,1 1/2 oz ,Triple sec,1 tblsp ,Lime juice,1 1/2 oz ,Sugar,1 tsp ,Cherry,1 ,Ice,1 cup crushed ,, ,, ,, ,, ,, ,,,,,,,,
252,Frozen Mint Daiquiri,11390,Ordinary Drink,Old-fashioned glass,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.,Light rum,2 oz ,Lime juice,1 tblsp ,Mint,6 ,Sugar,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,
253,Frozen Pineapple Daiquiri,11391,Ordinary Drink,Champagne flute,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a champagne flute and serve.,Light rum,1 1/2 oz ,Pineapple,4 chunks ,Lime juice,1 tblsp ,Sugar,1/2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,
254,Fruit Cooler,12670,Other/Unknown,Highball Glass,"Toss strawberries with sugar, and let sit overnight in refrigerator. Cut lemon, reserve two slices. Juice the rest. Mix together the lemon juice, strawberries, apple juice, and soda water. Add slices of lemon (decor, really). In glasses, put ice cubes, and a slice of apple. Pour drink in, and serve.",Apple juice,1 can frozen ,Strawberries,1 cup ,Sugar,2 tblsp ,Lemon,1 ,Apple,1 ,Soda water,1 L ,Ice,"
",,"
",,"
",,"
",,"
",,"
",,,,,,
255,Fruit Flip-Flop,12672,Other/Unknown,Highball Glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",Yoghurt,1 cup ,Fruit juice,1 cup ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
256,Fruit Shake,12674,Other/Unknown,Highball Glass,Blend til smooth.,Yoghurt,1 cup fruit ,Banana,1 ,Orange juice,4 oz frozen ,Fruit,1/2 piece textural ,Ice,6 ,, ,, ,, ,, ,, ,,,,,,,,,,
257,Fuzzy Asshole,15743,Coffee / Tea,Coffee mug,fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.,Coffee,1/2 ,Peach schnapps,1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
258,GG,15997,Ordinary Drink,Collins Glass,Pour the Galliano liqueur over ice. Fill the remainder of the glass with ginger ale and thats all there is to it. You now have a your very own GG.,Galliano,2 1/2 shots ,Ginger ale,"
",Ice, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
259,Gagliardo,12758,Cocktail,Cocktail glass,"Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy.",Peach Vodka,5 parts ,Lemon juice,3 parts ,Galliano,1 part ,Sirup of roses,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,
260,Gentleman's Club,11396,Ordinary Drink,Old-fashioned glass,"In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well.",Gin,1 1/2 oz ,Brandy,1 oz ,Sweet Vermouth,1 oz ,Club soda,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,
261,Gideon's Green Dinosaur,17002,Ordinary Drink,Collins glass,Add all ingredients in collins glass with ice and stir.,Dark rum,1/2 oz ,Vodka,1/2 oz ,Triple sec,1/2 oz ,Tequila,1/2 oz ,Melon liqueur,1/2 oz ,Mountain Dew,Fill with ,, ,, ,, ,, ,, ,,,,,,,,
262,Gin And Tonic,11403,Ordinary Drink,Highball glass,Pour the gin and the tonic water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.,Gin,2 oz ,Tonic water,5 oz ,Lime,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
263,Gin Cooler,11407,Ordinary Drink,Collins glass,Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice and add gin. Fill with carbonated water and stir. Add the lemon peel and the orange spiral so that the end of the orange spiral dangles over rim of glass.,Gin,2 oz ,Carbonated water,"
",Powdered sugar,"
",Orange spiral,"
",Lemon peel,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,
264,Gin Daisy,11408,Ordinary Drink,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the wine, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice.",Gin,2 oz ,Lemon juice,1 oz ,Sugar,1/2 tsp superfine ,Grenadine,1/2 tsp ,Maraschino cherry,1 ,Orange,1 ,, ,, ,, ,, ,, ,,,,,,,,
265,Gin Fizz,11410,Ordinary Drink,Highball glass,"Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water.",Gin,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Carbonated water,,,,,,,,,,,,,,,,,,,,,,,
266,Gin Rickey,17230,Cocktail,Highball glass,Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.,Gin,2 oz ,Grenadine,1 tsp ,lemon,Juice of 1/2 ,Soda Water,Top up with,Lime,Garnish,,"
",,"
",,,,,,,,,,,,,,,,
267,Gin Sling,11415,Ordinary Drink,Old-fashioned glass,Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.,Gin,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Water,1 tsp ,Orange peel,Twist of ,, ,, ,, ,, ,, ,,,,,,,,,,
268,Gin Smash,11416,Ordinary Drink,Old-fashioned glass,"Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve.",Gin,2 oz ,Carbonated water,1 oz ,Sugar,1 cube ,Mint,4 ,Orange,1 slice ,Cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,
269,Gin Sour,11417,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",Gin,2 oz ,Lemon juice,1 oz ,Sugar,1/2 tsp superfine ,Orange,1 ,Maraschino cherry,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
270,Gin Squirt,11418,Ordinary Drink,Highball glass,"Stir gin, grenadine, and powdered sugar with ice and strain into a highball glass over ice cubes. Fill with carbonated water and stir. Decorate with the pineapple chunks and the strawberries and serve.",Gin,1 1/2 oz ,Grenadine,1 tsp ,Powdered sugar,1 tblsp ,Pineapple,3 chunks ,Strawberries,2 ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,
271,Gin Swizzle,11419,Ordinary Drink,Highball glass,"In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda.",Lime juice,1 1/2 oz ,Sugar,1 tsp superfine ,Gin,2 oz ,Bitters,1 dash ,Club soda,3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,
272,Gin Toddy,11420,Ordinary Drink,Old-fashioned glass,"Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve.",Gin,2 oz ,Water,2 tsp ,Powdered sugar,1/2 tsp ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,
273,Girl From Ipanema,17175,Ordinary Drink,Wine Glass,"Add the cachaca, lemon juice and syrup to your boston glass. Add ice and shake until ice cold. Pour into a chilled flute and top-up with Champagne",Cachaca,25 ml,Lemon Juice,15 ml,Agave Syrup,10 ml,Champagne,top up with,,,,,,,,,,,,,,,,,,,,,,
274,Gluehwein,12944,Punch / Party Drink,Irish coffee cup,"Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup.",Red wine,1 L ,Water,125 ml ,Sugar,60 gr ,Cinnamon,1 ,Cloves,3 ,Lemon peel,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,
275,Godchild,11422,Ordinary Drink,Champagne flute,"Shake all ingredients well with cracked ice, strain into a champagne flute, and serve.",Vodka,1 oz ,Amaretto,1 oz ,Heavy cream,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
276,Godfather,11423,Ordinary Drink,Old-fashioned glass,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.,Scotch,1 1/2 oz ,Amaretto,3/4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
277,Godmother,11424,Ordinary Drink,Old-fashioned glass,Pour vodka and amaretto into an old-fashioned glass over ice and serve.,Vodka,1 1/2 oz ,Amaretto,3/4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
278,Golden dream,17199,Ordinary Drink,Cocktail glass,Shake with cracked ice. Strain into glass and serve.,Galliano,2 parts,Triple Sec,2 parts,orange juice,2 parts,Cream,1 part,, ,, ,, ,, ,, ,,,,,,,,,,,,
279,Grand Blue,15427,Ordinary Drink,Old-fashioned glass,Serve in an old fashioned glass.,Malibu rum,1 1/2 cl ,Peach schnapps,1 1/2 cl ,Blue Curacao,1 1/2 cl ,Sweet and sour,3 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,
280,Grape lemon pineapple Smoothie,12712,Other/Unknown,Highball glass,Throw everything into a blender and liquify.,Grapes,1 cup ,Lemon,1/4 ,Pineapple,1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
281,Grass Skirt,11433,Ordinary Drink,Old-fashioned glass,"In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.",Gin,1 1/2 oz ,Triple sec,1 oz ,Pineapple juice,1 oz ,Grenadine,1/2 tsp ,Pineapple,1 ,, ,, ,, ,, ,, ,,,,,,,,,,
282,Grasshopper,17200,Ordinary Drink,Cocktail glass,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,Green Creme de Menthe,3/4 oz ,Creme de Cacao,3/4 oz white ,Light cream,3/4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
283,Green Goblin,13497,Beer,Pint glass,"Cider First, Lager then Curacao",Cider,1/2 pint hard ,Lager,1/2 pint ,Blue Curacao,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
284,Grim Reaper,14642,Ordinary Drink,Old-fashioned glass,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,Kahlua,1 oz ,151 proof rum,1 oz Bacardi ,Grenadine,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
285,Grizzly Bear,12762,Ordinary Drink,Collins Glass,"Served over ice. Sounds nasty, but tastes great.",Amaretto,1 part ,Jägermeister,1 part ,Kahlua,1 part ,Milk,2 1/2 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,
286,H.D.,16262,Coffee / Tea,Beer mug,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,Whisky,4 cl ,Bailey's irish cream,8 cl ,Coffee,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
287,Happy Skipper,12766,Ordinary Drink,Highball glass,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)",Spiced rum,1 1/2 cl ,Ginger ale,"
",Lime,"
",Ice,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
288,Harvey Wallbanger,11462,Ordinary Drink,Collins glass,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",Vodka,1 oz ,Galliano,1/2 oz ,Orange juice,4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
289,Havana Cocktail,11470,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Light rum,1 oz ,Pineapple juice,1 oz ,Lemon juice,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
290,Hawaiian Cocktail,11472,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Gin,2 oz ,Triple sec,1/2 oz ,Pineapple juice,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
291,Hemingway Special,17201,Ordinary Drink,Cocktail glass,Pour all ingredients into a shaker with ice. Shake.,Rum,12 parts,Grapefruit Juice,8 parts,Maraschino Liqueur,3 parts,Lime Juice,3 parts,, ,, ,, ,, ,, ,,,,,,,,,,,,
292,Herbal flame,15813,Coffee / Tea,Mason jar,"Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.",Hot Damn,5 shots ,Tea,very sweet ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
293,Highland Fling Cocktail,11476,Ordinary Drink,Cocktail glass,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,Scotch,1 1/2 oz ,Sweet Vermouth,3/4 oz ,Orange bitters,2 dashes ,Olive,1 ,, ,, ,, ,, ,, ,,,,,,,,,,,,
294,Holloween Punch,12954,Punch / Party Drink,Punch bowl,"Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine.",Grape juice,"
",Carbonated soft drink,", orange
",Sherbet, ,Sherbet, ,, ,, ,, ,,,,,,,,,,,,,,,,
295,Homemade Kahlua,17044,Homemade Liqueur,Collins Glass,"Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.",Sugar,2 1/2 cups ,Corn syrup,1 cup ,Coffee,1 1/2 oz instant ,Vanilla extract,2 oz ,Water,3 cups boiling ,Vodka,1 fifth ,, ,, ,, ,, ,, ,,,,,,,,
296,Horse's Neck,17202,Ordinary Drink,Highball glass,"Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",Lemon peel,1 long strip ,Brandy,2 oz ,Ginger ale,5 oz ,Bitters,2 dashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,
297,Hot Chocolate to Die for,12738,Cocoa,Coffee mug,"Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream.",Chocolate,12 oz fine ,Butter,1 tsp ,Vanilla extract,1/2 tsp ,Half-and-half,1 cup ,Marshmallows,mini ,, ,, ,, ,, ,, ,,,,,,,,,,
298,Hot Creamy Bush,14782,Coffee / Tea,Irish coffee cup,Combine all ingredients in glass,Irish whiskey,1 shot ,Bailey's irish cream,3/4 shot ,Coffee,6 oz hot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,
299,Ice Pick #1,13539,Ordinary Drink,Collins Glass,Put Vodka in glass fill with iced tea. Stir in lemon to taste.,Vodka,1 1/2 oz ,Iced tea,6 oz ,Lemon juice," to taste
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,
300,Iced Coffee,12770,Coffee / Tea,Coffee mug,Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.,Coffee,1/4 cup instant ,Sugar,1/4 cup ,Water,1/4 cup hot ,Milk,4 cups cold ,, ,, ,, ,, ,, ,,,,,,,,,,,,
301,Iced Coffee Fillip,12772,Coffee / Tea,Coffee mug,Mix together in a coffee mug and chill before serving.,Kahlua,2 tsp ,Coffee,Strong cold ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,
